time_of_day,season,fossil_gas_previous,ren_avg_dif
0.5,1.0,839.0,4587.202266483517
0.5,1.0,862.0,3384.2022664835163
0.5,1.0,841.0,2785.2022664835163
0.5,1.0,840.0,2435.2022664835163
0.5,1.0,835.0,2390.2022664835163
0.5,1.0,840.0,2073.2022664835163
0.5,1.0,840.0,1891.2022664835165
0.5,1.0,1059.0,1433.2022664835165
0.5,1.0,1585.0,1932.2022664835165
1.0,1.0,1781.0,2941.2022664835163
1.0,1.0,1802.0,3199.2022664835163
1.0,1.0,1802.0,3816.202266483516
1.0,1.0,1496.0,3632.202266483516
1.0,1.0,1043.0,2545.2022664835163
1.0,1.0,839.0,1308.2022664835165
1.0,1.0,560.0,1837.2022664835165
0.0,1.0,207.0,1403.2022664835165
0.0,1.0,206.0,1168.2022664835165
0.0,1.0,208.0,1191.2022664835165
0.0,1.0,209.0,944.2022664835164
0.0,1.0,211.0,1214.2022664835165
0.0,1.0,209.0,1312.2022664835165
0.0,1.0,340.0,2152.2022664835163
0.0,1.0,423.0,3808.202266483516
0.5,1.0,424.0,3992.202266483516
0.5,1.0,390.0,3473.2022664835163
0.5,1.0,222.0,3269.2022664835163
0.5,1.0,223.0,3073.2022664835163
0.5,1.0,221.0,3307.2022664835163
0.5,1.0,219.0,3066.2022664835163
0.5,1.0,221.0,2747.2022664835163
0.5,1.0,219.0,2389.2022664835163
0.5,1.0,528.0,2975.2022664835163
1.0,1.0,840.0,3477.2022664835163
1.0,1.0,837.0,4347.202266483517
1.0,1.0,836.0,4812.202266483517
1.0,1.0,515.0,3977.202266483516
1.0,1.0,446.0,3189.2022664835163
1.0,1.0,441.0,2439.2022664835163
1.0,1.0,362.0,1854.2022664835165
0.0,1.0,206.0,1587.2022664835165
0.0,1.0,208.0,1459.2022664835165
0.0,1.0,208.0,1363.2022664835165
0.0,1.0,208.0,1160.2022664835165
0.0,1.0,208.0,1354.2022664835165
0.0,1.0,208.0,1374.2022664835165
0.0,1.0,209.0,1987.2022664835165
0.0,1.0,215.0,3076.2022664835163
0.5,1.0,208.0,3462.2022664835163
0.5,1.0,190.0,3028.2022664835163
0.5,1.0,183.0,2770.2022664835163
0.5,1.0,203.0,2832.2022664835163
0.5,1.0,216.0,2483.2022664835163
0.5,1.0,219.0,2326.2022664835163
0.5,1.0,217.0,2446.2022664835163
0.5,1.0,222.0,2455.2022664835163
0.5,1.0,224.0,2225.2022664835163
1.0,1.0,396.0,2551.2022664835163
1.0,1.0,638.0,3927.202266483516
1.0,1.0,636.0,4343.202266483517
1.0,1.0,608.0,4232.202266483517
1.0,1.0,631.0,3722.202266483516
1.0,1.0,517.0,2106.2022664835163
1.0,1.0,491.0,2066.2022664835163
0.0,1.0,430.0,1264.2022664835165
0.0,1.0,402.0,1010.2022664835164
0.0,1.0,275.0,1126.2022664835165
0.0,1.0,172.0,1026.2022664835165
0.0,1.0,172.0,1076.2022664835165
0.0,1.0,171.0,1478.2022664835165
0.0,1.0,172.0,1713.2022664835165
0.0,1.0,174.0,2013.2022664835165
0.5,1.0,175.0,2386.2022664835163
0.5,1.0,179.0,1991.2022664835165
0.5,1.0,180.0,1638.2022664835165
0.5,1.0,179.0,1540.2022664835165
0.5,1.0,178.0,1474.2022664835165
0.5,1.0,178.0,1299.2022664835165
